item_name,basket_id
lemons,13
parmesan   grated,13
country style bread   into,13
romaine hearts leaves separated,13
skinless boneless chicken thighs,14
salt   ground pepper,14
unsalted butter,14
large or   leeks white   pale green parts only   lengthwise,14
zest   juice   lemon,14
long grain white rice   until water runs clear,14
low sodium chicken broth,14
oil packed anchovy fillet,14
garlic cloves,14
capers,14
red pepper flakes,14
tender herb leaves,14
extra virgin olive oil,14
instant corn masa flour,15
lard   or vegetable oil,15
diamond crystal or   morton   salt,15
guajillo or dried new mexico chiles stems   seeds removed,15
morita chiles stems removed or   chipotle chiles in adobo,15
ground coriander or cumin,15
shrimp peeled deveined,15
garlic cloves,15
sprigs thyme,15
apple cider vinegar,15
agave syrup or honey,15
unsalted butter   into,15
onion   avocado cilantro leaves with tender stems   lime wedges,15
vegetable oil,16
corn tortillas,16
chorizo,16
garlic cloves,16
white onion         for serving,16
salt,16
cans black beans   or   frijoles de la olla,16
low sodium chicken broth,16
queso fresco or cotija cheese crumbled,16
cilantro leaves with tender stems     avocado,16
virgin coconut oil,17
ripe platanos manzanos or large ripe plantains peeled   in half lengthwise,17
salt,17
plain unsweetened coconut milk yogurt or greek yogurt,17
ripe mangoes,17
nuts seeds  /or unsweetened shredded coconut,17
skin on bone in chicken thighs   drumsticks,18
salt,18
potatoes   lengthwise,18
or   shallots   through root ends,18
unsalted butter,18
heavy cream,18
garlic cloves   grated,18
ground black pepper,18
grated or ground nutmeg,18
sprigs thyme,18
sage leaves,18
country style bread preferably day old   into large,18
lemon   into wedges,18
strips   zest from   orange,19
ginger peeled     shaved,19
lime juice,19
champagne vinegar,19
sugar,19
salt,19
extra virgin olive oil,19
thai chile with seeds,19
beets,19
extra virgin olive oil,19
white wine vinegar,19
water,19
salt     ground black pepper,19
extra virgin olive oil,19
roughly   cashews,19
large sunchokes   shaved,19
vegetable oil,19
salt,19
orange,19
beets,19
extra virgin olive oil,19
salt,19
pickled orange ginger puree,19
cashews,19
roughly   tarragon,19
roughly   dill fronds,19
sunchoke chips,19
pepitas,20
shredded kale stems removed,20
clove garlic,20
can chickpeas,20
ground turmeric,20
coriander leaves,20
sea salt   cracked black pepper,20
firmly packed grated pumpkin,20
extra virgin olive oil for brushing,20
plain greek style yogurt   hulled tahini to serve,20
carrots shredded using a julienne peeler,20
apple cider vinegar,20
honey,20
large red chiles,20
coriander leaves,20
butternut squash or butternut squash,21
extra virgin olive oil,21
pure maple syrup,21
chile flakes,21
sea salt   cracked black pepper,21
almonds,21
quinoa,21
mint leaves,21
wild rocket leaves,21
hulled tahini,21
lemon juice,21
water,21
clove garlic,21
sea salt flakes,21
ghee for the cake pan,22
paneer preferably homemade,22
confectioners sugar,22
ground cardamom,22
semolina,22
ghee store bought or homemade,22
milk,22
cashews,22
golden raisins,22
granulated sugar,22
whipped cream or   almonds for serving,22
quarts   milk,23
juice   lemons,23
salt,23
carrot top removed     into,24
can diced tomatoes or scant   roughly     tomatoes,24
extra virgin olive oil,24
garlic cloves minced,24
spinach,24
salt,24
ground turkey,24
ground cumin,24
smoked paprika,24
ground black pepper,24
r rated onions,24
red wine vinegar,24
large eggs parmigiano reggiano for serving,24
large or   yellow or white onions,25
olive or vegetable oil,25
salt,25
extra virgin olive oil,26
white miso,26
pure maple syrup or brown sugar,26
regular soy sauce or tamari,26
kabocha squash peeled   into thick wedges or   butternut squash peeled   into,26
extra virgin olive oil,26
piece ginger coarsely,26
garlic cloves coarsely,26
low sodium vegetable broth,26
white miso,26
salt   ground pepper,26
large bunch broccolini   crosswise thicker stalks   lengthwise,26
packages wavy ramen noodles preferably,26
handful   cilantro leaves with tender stems,26
coconut oil,27
calabaza pumpkin seeded peeled     into chunks,27
onion minced,27
garlic cloves minced,27
aji dulce pepper seeded   minced,27
dark brown sugar,27
ground cumin,27
coconut milk,27
chicken broth or vegetable broth,27
salt     ground black pepper,27
cilantro,27
large italian eggplants,28
canola oil,28
onion,28
cloves garlic,28
tomato,28
coarse salt or to taste,28
ground black pepper to taste,28
coarsely   cilantro,28
roti for serving,28
chicken   into   skin removed,29
squeezed lime juice,29
green seasoning,29
coarse salt,29
scotch bonnet pepper or other hot red chili pepper,29
cloves garlic,29
trinidad curry powder,29
canola oil,29
onion,29
chicken stock or water,29
roti or white rice for serving,29
cardamom pods,30
coriander seeds,30
cumin seeds,30
mustard seeds,30
fenugreek seeds,30
curry leaves,30
black peppercorns,30
cloves,30
ground turmeric,30
garlic cloves minced,31
large onions   fine,31
celery,31
red bell pepper   into inch dice,31
green bell pepper   into inch dice,31
olive oil,31
chicken broth,31
can   tomatoes,31
bay leaf,31
ground cumin,31
salt or to taste,31
ground black pepper,31
large shrimp shelled   deveined,31
accompaniment   uncooked rice prepared according to package instructions but without butter or margarine,31
chives,32
shado beni or cilantro leaves,32
thyme,32
oregano,32
parsley,32
cloves garlic,32
dry or can pigeon peas pinto beans or black eyed peas,33
long grain rice,33
canola oil,33
sugar,33
chicken   into   skin removed,33
onion,33
clove garlic,33
coconut milk,33
bay leaf,33
green seasoning,33
parsley,33
sprig thyme,33
carrots peeled,33
scallions,33
salt,33
cubed   calabaza or butternut squash,33
scotch bonnet pepper,33
ketchup,33
butter,33
yukon gold potatoes peeled   into,34
large garlic cloves peeled,34
salt,34
milk,34
thyme sprigs,34
unsalted butter,34
ground black pepper,34
sour cream,34
a potato ricer or food mill,34
london dry gin,35
cynar,35
fino sherry,35
orange twist to,35
graham cracker crumbs,36
granulated sugar,36
firmly packed light brown sugar,36
salt,36
unsalted butter,36
cream cheese at,36
granulated sugar,36
creole cream cheese,36
vanilla bean paste,36
eggs at,36
ingredient info you can substitute   sour cream mixed with   buttermilk for the   creole cream cheese,36
unsalted butter,36
granulated sugar,36
firmly packed light brown sugar,36
honey,36
peeled     evenly   granny smith apples,36
grated lemon zest,36
lemon juice,36
salt,36
ground cinnamon,36
ground cardamom,36
ground ginger,36
vanilla extract,36
quarts skim milk,37
buttermilk,37
rennet tablet,37
nonfat dry milk powder,38
baking powder,38
granulated sugar or light brown sugar,38
all purpose flour     for dusting,38
vegetable oil,38
vegetable shortening,38
ghee unsalted butter or vegan butter,38
large eggs,39
mayonnaise,39
dijon mustard,39
cayenne,39
garnishes paprika       chives,39
pastry bag fitted with inch star tip,39
green unripe mangoes peeled,40
shallots,40
indian or thai green chiles   lengthwise,40
piece ginger peeled     into thin matchsticks,40
cloves garlic   into thin matchsticks,40
coconut vinegar or white vinegar,40
salt,40
coconut milk,40
coconut oil,40
black mustard seeds,40
dried red chiles snapped in half,40
curry leaves,40
fried onions for,40
basmati rice to serve,40
grated piloncillo or dark brown sugar,41
canela or cinnamon,41
cardamom pods cracked,41
allspice berries,41
black peppercorns,41
salt,41
wide strips orange zest,41
cold brew coffee,41
unsweetened coconut milk or half   half,41
large eggs,42
can pumpkin puree,42
milk,42
unsalted butter,42
all purpose flour,42
cinnamon,42
allspice,42
ground ginger,42
nutmeg,42
salt,42
apple cider or juice,42
maple syrup,42
powdered sugar for serving,42
chicken legs patted dry,43
salt,43
extra virgin olive oil,43
fennel bulbs     coarsely   fronds,43
red flame or green table grapes stems removed,43
unsalted chicken broth,43
honey,43
calabrian chile paste or   calabrian chiles,43
red wine vinegar,43
onion,44
unsalted butter,44
all purpose flour,44
milk,44
boiling potatoes,44
coarsely grated sharp cheddar,44
dry bread crumbs,44
skinless salmon fillet   into cm cubes,45
greek yogurt,45
garlic granules,45
heaped   rose harissa,45
ground turmeric,45
paprika,45
grated zest   unwaxed lime   a good squeeze   juice,45
olive oil,45
generous amount   maldon sea salt flakes     ground black pepper,45
tortilla wraps,45
tomatoes,45
onion,45
coriander leaves,45
greek yogurt,45
warm water,46
instant yeast,46
bread flour       as needed,46
canola oil     for your bowl,46
morton   salt,46
beets scrubbed thoroughly but not peeled,47
white vinegar,47
one   boneless pork butt,47
beef chicken or vegetable stock,47
bay leaf,47
allspice berries,47
black peppercorns,47
large carrots peeled,47
large celery stalks,47
head   green cabbage shredded,47
idaho potatoes peeled     into inch dice,47
one   can lima beans,47
salt,47
skin on red snapper fillets patted dry,48
okra salt or   salt,48
alligator pepper or   ground black pepper,48
cubeb pepper or ashanti pepper,48
green or   ripe papaya peeled insides discarded,48
bunch cilantro,48
extra virgin olive oil,48
red onion coarsely,48
garlic clove coarsely,48
piece ginger peeled coarsely,48
ground dried bird chiles or other hot chile powder,48
lemon,48
puna white yams or sweet potatoes,48
coconut sugar or dark brown sugar,48
salt,48
extra virgin olive oil,48
ground black pepper,48
chile powder,48
drunk apricot shito,48
a spice mill or mortar   pestle,48
dried apricots,49
dark rum or arrack,49
unsalted butter,49
ground cinnamon,49
coconut sugar or dark brown sugar,49
grains   selim pods,49
cubeb pepper or ashanti pepper,49
peanut oil or vegetable oil,49
white onion,49
red onion,49
garlic cloves coarsely,49
piece ginger peeled   grated,49
red pepper flakes,49
rosemary,49
thyme,49
dried prawn or shrimp powder,49
okra salt or   salt,49
tomato puree,49
dried chile powder,49
low sodium chicken broth,49
scotch bonnet or habanero chile pierced a few times with a knife,49
a spice mill or mortar   pestle,49
dried beans such as flageolet or navy or   shelling beans,50
in square dried kombu,50
large tomatoes,50
celery ribs,50
carrot,50
leek white   light green parts only,50
shallots skins intact,50
garlic cloves minced,50
oil packed anchovy fillets,50
extra virgin olive oil,50
maple syrup,50
salt,50
red pepper flakes,50
grain mustard,50
bacon,50
romano beans or green beans   into in,50
shallots,50
red pepper flakes,50
zest   juice   lemon,50
garlic clove grated,50
pickled green beans,50
cherry tomatoes quartered,50
extra virgin olive oil,50
sherry vinegar,50
tomato brown butter,50
crumbled feta parsley leaves   marjoram leaves for,50
large tomato,51
unsalted butter,51
salt,51
ground black pepper,51
acorn squash unpeeled   through the stem   seeded,52
unsalted butter diced,52
pure maple syrup   extra for serving,52
good olive oil,52
salt     ground black pepper,52
flaked sea salt such as maldon for serving,52
extra virgin olive oil,53
serrano chile or jalapeno,53
piece   ginger peeled   into matchsticks,53
garlic cloves,53
scallions         for serving,53
ground turmeric,53
ears   corn shucked kernels removed,53
grains,53
unsweetened coconut milk     for serving,53
salt,53
store bought crispy onions or shallots,53
lime wedges,53
mixed heirloom tomatoes     thick,54
extra virgin olive oil,54
salt,54
ground black pepper,54
garlic cloves peeled,54
unsalted butter,54
stoned wheat thins or other   grain crackers,54
large eggs,54
taleggio cheese rind removed coarsely grated,54
crumbled parmesan,54
mayonnaise,54
thyme     leaves,54
shallot,54
special equipment a springform pan,54
scallions,55
piece ginger scrubbed   into matchsticks,55
garlic cloves,55
coriander seeds,55
cumin seeds,55
black mustard seeds,55
kashmiri chile powder or   cayenne powder,55
ground turmeric,55
extra virgin olive oil,55
paneer   into planks patted dry,55
salt,55
cherry tomatoes,55
sugar snap peas strings removed   on a diagonal   large,55
sugar,55
mint leaves,55
rice,55
skinless boneless chicken breasts,56
salt,56
scallions     on a deep diagonal,56
persian cucumbers,56
sesame seeds,56
lime juice,56
tahini,56
soy sauce,56
honey,56
red pepper flakes,56
head   romaine or green or red leaf lettuce or head   little gem lettuce,56
big handful   cilantro leaves with tender stems,56
lime,56
extra virgin olive oil,57
garlic cloves,57
double concentrated tomato paste,57
pure maple syrup,57
soy sauce,57
worcestershire sauce,57
unseasoned rice vinegar,57
sriracha or other hot sauce,57
vegetable oil,57
chicken   into   or whatever bone in     chicken you feel like cooking,57
salt,57
large egg yolks,58
kefir or plain   milk yogurt,58
dill fronds with tender stems,58
garlic cloves,58
unsalted butter,58
pine nuts or slivered almonds,58
dried currants or raisins,58
salt,58
ground cumin,58
ground black pepper,58
ground lamb,58
orecchiette or other short pasta,58
lemon,58
short grain sushi rice,59
scallions,59
piece ginger peeled   grated,59
vegetable oil,59
skinless boneless cod   into,59
salt,59
ground black pepper,59
unseasoned rice vinegar,59
sugar,59
unsalted butter   into,59
boneless skinless center   salmon patted dry   into,60
scallions,60
piece ginger peeled   grated,60
garlic clove   grated,60
mayonnaise,60
salt,60
sesame oil,60
unseasoned rice vinegar,60
persian cucumbers shaved lengthwise,60
serrano chile very,60
sugar,60
vegetable oil,60
rice flour,60
tender herbs,60
trimmed watercress,60
sesame seeds,60
brioche buns lightly,60
guajillo chiles seeds removed,61
morita chiles seeds removed,61
skinless striped bass or halibut fillets   crosswise into,61
orange juice,61
store bought or homemade achiote paste,61
garlic cloves,61
lime juice,61
salt,61
red onion,61
habanero chile,61
pineapple,61
cilantro   leaves for serving,61
vegetable oil,61
corn tortillas,61
lime wedges,61
raw nuts,62
raw pumpkin seeds,62
extra virgin olive oil     for pan,62
old fashioned oats,62
dried fruit,62
unsalted or low salt natural peanut butter,62
honey,62
salt,62
vanilla extract,62
large egg white,62
milk yogurt,63
lemon juice,63
sugar,63
salt,63
red lentils,63
zucchini,63
onion,63
salt,63
kashmiri chile powder or   cayenne pepper,63
ground turmeric,63
parsley leaves with tender stems,63
grated lemon zest,63
ghee or neutral vegetable oil,63
vegetable oil,64
cooking onions,64
baby yukon gold potatoes,65
salt,65
sour cream,65
mayonnaise,65
onion powder,65
dijon mustard,65
ground black pepper,65
garlic clove   grated,65
bunch chives,65
red onion very     through root end,65
sour cream   onion potato chips,65
ground coriander,66
ground cumin,66
ground turmeric,66
red pepper flakes,66
extra virgin olive oil,66
garlic cloves lightly,66
skinless boneless chicken thighs   into,66
salt,66
lime juice,66
ripe avocados,66
ripe mangoes,66
red onion,66
little gem or green lettuce leaves,66
cherry tomatoes,66
flaky sea salt mild red pepper flakes   basil  /or mint leaves,66
golden raisins,67
thin skinned cucumbers   into bite size,67
salt,67
extra virgin olive oil,67
pine nuts,67
castelvetrano olives pitted,67
large egg,67
garlic cloves   grated,67
panko,67
parsley,67
red pepper flakes     for serving,67
ground black pepper,67
ground pork,67
red onion very,67
tender herb leaves,67
red wine vinegar,67
plain   milk greek yogurt,67
softened butter,68
graham crackers,68
digestive biscuits or additional graham crackers,68
cans sweetened condensed milk,68
hass avocados,68
cream cheese at,68
fine sea salt,68
lemons,68
limes,68
sifted all purpose flour,69
unsweetened cocoa powder,69
baking soda,69
salt,69
sugar,69
unsalted butter,69
vegetable oil,69
large eggs,69
vanilla extract,69
buttermilk,69
grated unpeeled zucchini,69
package semisweet chocolate chips,69
walnuts,69
hazelnuts,70
bow tie pasta,70
unsalted butter       needed,70
cloves   garlic minced,70
hefty   each   salt     ground black pepper,70
red pepper flakes,70
bunch swiss chard stems       greens,70
parmesan cheese shaved,70
balsamic vinegar,70
olive oil,71
cloves   garlic minced,71
cherry tomatoes,71
dry white wine,71
to   basil leaves,71
healthy     fine sea salt,71
ground black pepper,71
cooking fat,71
bunch   scallions white parts   green parts diced separately,71
cloves   garlic minced,71
potato scrubbed     into inch chunks,71
or thawed frozen corn kernels,71
large eggs,71
red pepper flakes,71
feta cheese crumbled,71
all purpose flour   a little extra for dusting,72
salt,72
dried parsley,72
cold unsalted butter diced,72
sour cream or plain full fat yogurt,72
white wine vinegar,72
ice water,72
cooking fat,72
large onion,72
mixed heirloom tomatoes,72
hard salty cheese such as manchego or parmesan,72
shredded mozzarella cheese,72
mayonnaise,72
basil leaves,72
parsley,72
thyme,72
salt     ground black pepper,72
egg beaten,72
milk cream or water,72
bone in pork chops,73
salt,73
coriander seeds,73
padron chiles or shishito peppers stems trimmed   dry ends but not completely   off,73
red onion   through root end   thick,73
garlic cloves,73
carrots tops trimmed scrubbed   thick on a diagonal or   large carrots tops trimmed peeled     thick on a diagonal,73
red wine vinegar,73
sherry vinegar or red wine vinegar,73
honey,73
paprika,73
extra virgin olive oil,73
coarsely   oregano,73
a spice mill or a mortar   pestle,73
dashi,74
doenjang,74
gochujang,74
gochugaru,74
garlic cloves minced,74
soy sauce or   to taste,74
onions   into inch dice,74
green zucchini   into inch chunks,74
red korean chili pepper or other long hot chili     on the bias,74
green korean chili pepper or other long hot chili     on the bias,74
brisket   inch thick     into to inch strips,74
soft or silken tofu homemade or store bought   into inch cubes,74
bunch scallions   into inch batons,74
chicken wingettes or dumettes or       chicken,75
salt,75
ground black pepper,75
potato starch,75
vegetable oil,75
peanuts,75
rice syrup or honey,75
soy sauce,75
brown or white sugar,75
white vinegar,75
yellow mustard,75
vegetable oil,75
garlic cloves mined,75
minced peeled ginger,75
dried red chili peppers,75
sesame seeds,75
to     red pepper flakes,75
onion,76
gochujang,76
soy sauce,76
minced garlic,76
sugar,76
sake,76
mirin,76
sesame oil,76
skinless pork belly   inch thick     into inch squares,76
unsalted butter,76
slider buns,76
mayonnaise,76
english cucumbers peeled   lengthwise seeded     into matchsticks,76
chicken,77
white or black peppercorns,77
garlic cloves,77
cilantro roots   or       cilantro stems,77
light brown sugar,77
fish sauce,77
ground turmeric,77
salt,77
ground coriander,77
ground cumin,77
ground cardamom,77
ripe pineapple,77
distilled white vinegar or apple cider vinegar,77
large garlic cloves,77
red jalapenos or serrano chiles seeds removed,77
granulated sugar,77
salt,77
ground white pepper,77
saffron threads or   ground turmeric,77
granulated sugar,77
salt,77
virgin coconut oil,77
vegetable oil,77
coarsely   cilantro,77
jasmine rice coconut rice or sticky rice,77
a spice mill or a mortar   pestle,77
large egg yolks,78
all purpose flour,78
almond flour or   all purpose flour,78
sugar,78
salt,78
chilled unsalted butter   into,78
milk,78
vanilla paste or   vanilla extract,78
large egg yolks,78
sugar,78
cornstarch,78
salt,78
unsalted butter   into,78
blueberries,78
blackberries     very large,78
special equipment a springform pan or tart pan with removable bottom,78
raw thai jasmine rice,79
coconut milk preferably   extracted,79
water,79
granulated sugar,79
salt,79
coconut cream preferably   extracted,79
raw sesame seeds,80
lemon,80
peaches,80
sugar,80
salt,80
all purpose flour,80
unsalted butter,80
ground cinnamon,80
tahini,80
sesame oil,80
cornstarch,80
vanilla ice cream,80
hazelnuts   loose skins rubbed off in a kitchen towel   cooled,81
sugar,81
all purpose flour,81
cold unsalted butter softened,81
large eggs,81
vanilla extract,81
almond extract,81
tart shell,81
firm ripe bosc or anjou pears,81
apricot preserves heated   strained,81
salt,82
heads broccoli   into bitesize florets,82
wheat penne pasta or other short tubular pasta,82
extra virgin olive oil,82
panko or freezer bread crumbs,82
oil packed anchovy fillets,82
capers     large,82
garlic cloves minced,82
red pepper flakes,82
gallon cold water,83
square dashima,83
dried shiitake mushrooms,83
large dried anchovies,83
water,84
sour tamarind pulp or paste,84
ginger preferably young,84
sugar,84
one   bottle chilled club soda or   chilled water,84
to saffron strands   a few extra strands for,85
sugar,85
green cardamom pods smashed,85
ground sumac,85
chilled club soda or water,85
smooth peanut butter,86
light brown sugar,86
large egg   large egg yolks,86
all purpose flour,86
bicarbonate   soda,86
fine sea salt,86
peanuts roughly,86
unsalted butter diced   extra for greasing,86
cocoa powder,86
caster sugar,86
light brown sugar,86
fine sea salt,86
vanilla extract,86
large eggs,86
all purpose flour,86
neutral cooking oil such as canola oil,87
onion peeled   diced,87
garlic clove peeled   minced,87
poblano chiles stems removed   into inch wide strips,87
corn tortillas,87
juice   limes,87
slice bacon diced,87
peeled   deveined   shrimp,87
salt,87
queso asadero cheese,87
limes   into wedges,87
homemade or store bought tangy red salsa,87
cream cheese,88
kimchi     for serving,88
scallions     on a diagonal,88
cilantro leaves with tender stems,88
lime,88
salt,88
slices country style bread grilled or,88
chili oil     white sesame seeds,88
scallions,89
unsalted butter,89
piece ginger peeled   into matchsticks,89
tomatoes   into,89
white or regular soy sauce,89
salt,89
country style bread or   rice or pasta,89
extra virgin olive oil     for drizzling,90
garlic cloves smashed,90
cherry tomatoes,90
large sprigs basil     basil leaves     large,90
red pepper flakes,90
salt,90
sugar,90
casarecce or other   size pasta,90
parmesan   grated     for serving,90
sleeve ritz crackers or other cracker   your choice,91
raw peanuts or other nut or seed,91
light or dark brown sugar,91
diamond crystal or   morton   salt,91
unsalted butter,91
large eggs,91
light or dark brown sugar,91
diamond crystal or   morton   salt,91
vanilla extract,91
natural peanut butter or other natural nut or seed butter,91
heavy cream,91
grape jelly or other jelly jam or compote,91
semi pearled farro,92
salt,92
large eggs,92
large watermelon radish or red radishes trimmed     on a mandoline   you ve got one,92
unseasoned rice vinegar,92
sugar,92
block extra firm tofu,92
grapeseed or vegetable oil,92
lime juice,92
gochujang,92
mayonnaise,92
soy sauce,92
sesame oil,92
zucchini or summer squash   lengthwise   crosswise into half moons,92
or shredded raw vegetables,92
heirloom tomatoes   into wedges depending on size,93
mixed cherry tomatoes   quartered   large,93
salt,93
lemon,93
garlic clove,93
extra virgin olive oil,93
za atar,93
pita chips,93
honey,93
feta     into planks,93
basil leaves     large,93
mint leaves     large,93
skin on bone in chicken thighs,94
salt,94
cherry tomatoes,94
harissa paste,94
red wine vinegar,94
sprigs oregano,94
feta   into planks,94
crusty bread,94
jalapenos seeded,95
piece ginger peeled   grated,95
garlic cloves   grated,95
cilantro leaves with tender stems,95
lime juice,95
tahini,95
miso,95
salt,95
extra virgin olive oil       for drizzling,95
garlic cloves lightly,95
can chickpeas,95
ears   corn shucked kernels removed,95
spice blend,95
salt,95
tender greens     large,95
avocados   into wedges,95
tomatoes   into wedges,95
crumbled feta cilantro sprigs   lime wedges,95
unsalted butter,96
raw pistachios,96
large egg,96
light brown sugar,96
all purpose flour,96
salt,96
baking powder,96
large eggs,96
light brown sugar,96
sour cream,96
vanilla bean paste or vanilla extract,96
ground cardamom,96
ground ginger,96
grated orange zest,96
salt,96
all purpose flour,96
stone fruit   into sixths or eighths depending on their size,96
coarse sugar,96
powdered sugar whipped cream or creme fraiche,96
a diameter springform pan,96
heirloom bananas or   plantains ripe but not black unpeeled,97
crema or creme fraiche,97
crumbled queso fresco,97
chorizo casings removed or vegetarian substitute such as lightlife plant based italian sausage,98
ground beef or vegetarian substitute such as lightlife plant based ground,98
tomato paste,98
cumin,98
large onion grated on a box grater,98
jalapenos     seeded   desired,98
salt,98
large beefsteak tomatoes   into cubes,98
corn kernels,98
cheddar cheese grated,98
large eggs,98
unsalted butter,98
sour cream     for serving,98
cornmeal,98
baking powder,98
garlic cloves   grated,99
hot pickled peppers     pickle brine,99
stone ground or   grain mustard,99
salt,99
plum tomatoes   thick,99
thick   bacon   into,99
loaf crusty multigrain bread   thick,99
large slightly firm peaches preferably freestone   pitted,99
olive oil,100
onions   diced,100
/  tomato puree,100
/  ripe tomatoes coarsely grated,100
/  chicken stock or water,100
sugar,100
salt   black pepper,100
/  egyptian rice or arborio rice,100
/  ground lamb,100
/  olive oil,100
ground cinnamon,100
ground allspice,100
ground cumin,100
green onions,100
/  mint leaves roughly,100
/  parsley leaves roughly,100
/  dill roughly,100
red chile seeded     diced,100
lemon   grate the zest to get,100
water,100
/  eggplants,100
/  zucchini,100
/  olive oil,100
garlic cloves,100
coriander seeds lightly   in a mortar   pestle,100
red chile seeded     diced,100
/  parsley leaves roughly,100
/  mint leaves roughly,100
/  dill leaves,100
green onion,100
/  greek yogurt,100
/  crustless sourdough bread   blitzed into crumbs or large zucchini coarsely grated,101
/  ground chicken or turkey thighs,101
garlic cloves,101
ground cumin,101
ground cinnamon,101
ground allspice,101
chile flakes,101
/  cilantro leaves roughly,101
/  parsley leaves roughly,101
/  mint leaves roughly,101
lemon grate   to get   zest then   into wedges,101
salt   black pepper,101
olive oil,101
garlic cloves,101
lemon shave the rind to get strips then juice to get,101
/  chicken stock,101
/  frozen molokhieh,101
ground cinnamon,101
salt   black pepper,101
/  parsley leaves roughly,101
/  cilantro leaves roughly,101
olive oil,101
garlic cloves,101
chile flakes,101
cilantro roughly,101
vegetable oil,102
unsweetened coconut flakes,102
coriander seeds,102
dried chana dal,102
black peppercorns,102
fenugreek seeds,102
cinnamon,102
cloves,102
asafoetida,102
dried red chile,102
onion,102
salt,102
green chiles minced,102
ground turmeric,102
yellow mustard seeds,102
white basmati rice,102
dried lentils,102
trimmed acorn or butternut squash,102
mustard greens,102
no added salt vegetable broth or water,102
special equipment coffee/spice grinder,102
raw walnuts,103
white chocolate,103
refined coconut oil,103
tahini,103
vanilla bean paste or vanilla extract,103
salt,103
dry white vermouth,104
lemon juice,104
simple syrup,104
orange slices,104
strawberries hulled,105
rose wine chilled,105
aperol,105
lemon juice,105
soda water chilled,105
french green or brown lentils,106
milk greek yogurt,106
grated lemon zest,106
lemon juice,106
garlic cloves   grated,106
salt,106
crimini mushrooms stems trimmed,106
white miso,106
smoked paprika,106
extra virgin olive oil,106
oat flour gluten free blend or all purpose flour,106
wheat or gluten free buns sprouts  /or lettuce   pickle slices,106
noilly prat dry vermouth,107
club soda,107
cucumber wheel,107
seasoned rice vinegar,108
extra virgin olive oil,108
lime juice,108
soy sauce,108
sesame seeds,108
mild red pepper flakes,108
sesame oil,108
or   dried ramen noodles,108
salt,108
shredded or shaved vegetables,108
short grain white sushi rice   until water runs clear,109
diamond crystal or   morton   salt,109
sugar,109
unseasoned rice vinegar,109
pure maple syrup,109
red or white miso,109
tamari or regular soy sauce,109
red pepper flakes     for serving,109
extra virgin olive oil,109
